Développeur C#/.NET,Logigroup,Télétravail,LOGIGROUP est une ESN, qui évolue dans les domaines du développement applicatif, BI, Cloud et cybersécurité.
 Réalisation des tests unitaires, d'intégration, de…
Un développeur C++/.net en full remote (IT) / Freelance,Almatek,Télétravail à France,Almatek recherche pour l’un de ses clients, un développeur C++/.net en full remote.
Développeur fullstack C# / Angular - H/F,Seyos,Télétravail à Angers (49)+ 1 lieu,Vous participez à la conception d'un nouveau produit conçu sur un socle technique récent (.net core).
 2000 clients répartis sur 50 pays.
Lead développeur .Net H/F,Inetum,Lyon (69),Il s’agit de participer activement à cette croissance en intégrant nos équipes de développement qui réalisent des projets au forfait innovants.
Développeur Fullstack F/H,FED IT,Berre-l&#x27;Étang (13),Au sein de l'équipe R &amp; D, vous prenez en charge la conception et la réalisation des nouveaux produits et de leurs évolutions.
Développeur trilingue Français, espagnol et Anglais ASP.NET, MVC, C# (70 ), Angular (30 ). Toulouse (IT) / Freelance,WorldWide People,31000 Toulouse,NET, MVC, C# (70 ), Angular (30 ).
Développeur .NET/SQL Expérimenté (IT) / Freelance,INFOTEL CONSEIL,Paris (75),Prestation au forfait pour répondre au besoin d’expertise technique pour assurer la maintenance du SI, ceci incluant le.
 + Curiosité pour le métier.
Developpeur PHP / .NET ( C#) (IT) / Freelance,Etixway,Paris (75),Apporter un soutien technique quotidien.
 Avoir un bon relationnel et bonne capacité à travailler en équipe.
 De plus une connaissance de la mise en place d’API…
Développeur .net - H/F,Hays,34000 Montpellier+ 4 lieux,C-sharp / Blazor / Dot-net / Sql / Svn / Agile.
 Backend Developer, Full Stack Developer / CDI / Environ 38k€ / 0 - 2 ans / Montpellier.
Développeur Full Stack C# .NET Core (H/F),FITAE,Télétravail à 75002 Paris 2e,Contribuer à la rédaction des spécifications techniques.
 Evaluer la charge de réalisation.
 Mettre en place les tests unitaires et fonctionnels.
Développeur VB.net F/H,FED IT,Entraigues-sur-la-Sorgue (84),Nous recherchons pour notre client, éditeur de logiciel, un ingénieur logiciel Java/Angular F/H dans le cadre d'un CDI.
 BI (Statistique graphique et reporting).
Développeur Sénior C#/.NET - H/F,Opus Recruitment Solutions,Paris (75),.net core / Devops lifecycle manager / Aws / C-sharp / Aws-cloudformation.
 Net Core, où vous allez retrouver les dernières versions disponibles au sein d'un…
DÉVELOPPEUR.EUSE C# / WPF (H/F/X),IT link,Télétravail à Rennes (35),Engagé.e.s pour l'égalité des chances, nous pensons que la diversité est une richesse.
 En rejoignant IT Link, vous intégrez directement l’une des équipes R&amp;D de…
Développeur .Net/ReactJS (IT) / Freelance,ALLEGIS GROUP,Paris (75),Dans le cadre d’un centre de services, vous serez intégré dans une équipe agile en mode produit pour intervenir sur un projet de build pour adapter une…
Développeur MS SQL / SSIS / SSAS / .Net (H/F) (IT) / Freelance,NEXORIS,Paris (75),Dans le cadre de votre mission, vous serez amené à participer aux projets liés aux Stress Tests Risques de Marchés et aux calculs des capitaux propres …
Développeur C# .Net dans l&#x27;IoT H/F,Lea Recrutement,Montpellier (34),Le tout, au sein d'une équipe passionnée, punchy et conviviale !
 Vous avez de l'expérience en conception et utilisation d'API, et en conception de BDD MySQL.
Développeur .Net (IT) / Freelance,Taleo Corporation,Paris (75),Développement informatique autour du framework .NET.
 Définition et automatisation des tests unitaires.
 Bonne connaissance des processus VSTS et DevOps.
Développeur .Net / Angular H/F,Synopsia,Télétravail hybride à 75002 Paris 2e,Dans le cadre de notre croissance, nous recrutons *un Développeur Dot.
 Net / Angular. *maîtrisant les savoirs-faires suivant :
 Capacité d'analyse des problèmes.
Stagiaire Dev Web,DreamCentury Entertainment,Paris (75),Au sein d'une équipe jeune, dans une société à taille humaine, ce stage vous amènera à développer des projets pour des sites déjà exploités par DreamCentury en…
